Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.27682456221956E-18,-0.005,0,0,0,0,0.0002,3.33333333333334E-09,1.72329294281881E-26,3.0309750528515E-26,1.73333333333333E-09,-8.32068698519475E-26,1.73333333333333E-09,0,0,0,0,0,0,package://fullurdf3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullurdf3/meshes/base_link.STL,,refplate-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sec01,7.5894E-19,0.0025,0,0,0,0,0.01398,3.7863E-07,4.2141E-39,1.7723E-55,6.99E-07,6.754E-40,3.7863E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec01.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec01.STL,,soliddisk-1,Coordinate System1,Axis_joint01,joint01,fixed,0,0,0,0,0,0,base_link,0,0,0,100,100,-1.571,1.571,,,,,,,,
sec02,4.33680868994202E-19,0.0025,0,0,0,0,0.0139800873084746,3.7862736460452E-07,4.90793830114796E-24,-9.81587660229593E-24,6.99004365423729E-07,-1.22698457528699E-24,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec02.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec02.STL,,soliddisk-2,Coordinate System2,Axis_joint02,joint02,fixed,0,0.01,0,0,0,0,sec01,0,0,0,100,100,-1.571,1.571,,,,,,,,
sec03,2.71050543121376E-19,0.0025,0,0,0,0,0.0139800873084746,3.7862736460452E-07,-4.90793830114797E-24,-3.58892988271445E-23,6.99004365423729E-07,2.45396915057398E-24,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec03.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec03.STL,,soliddisk-3,Coordinate System3,Axis_joint03,joint03,fixed,0,0.01,0,0,0,0,sec02,0,0,0,100,100,-1.571,1.571,,,,,,,,
sec04,-3.25260651745651E-19,0.0025,0,0,0,0,0.0139800873084746,3.7862736460452E-07,4.90793830114798E-24,-4.90793830114797E-23,6.99004365423729E-07,-1.0278932676585E-38,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec04.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec04.STL,,soliddisk-4,Coordinate System4,Axis_joint04,joint04,fixed,0,0.01,0,0,0,0,sec03,0,0,0,0,0,0,0,,,,,,,,
sec05,-2.16840434497101E-19,0.0025,1.73472347597681E-18,0,0,0,0.0139800873084746,3.7862736460452E-07,-2.45396915057397E-24,-1.71777840540178E-23,6.99004365423729E-07,-4.20247128011324E-40,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec05.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec05.STL,,soliddisk-5,Coordinate System5,Axis_joint05,joint05,fixed,0,0.01,0,0,0,0,sec04,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec06,-1.95156391047391E-18,0.0025,-3.46944695195361E-18,0,0,0,0.0139800873084746,3.7862736460452E-07,1.22698457528698E-24,-5.67480366070232E-24,6.99004365423729E-07,2.97569029420945E-38,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec06.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec06.STL,,soliddisk-6,Coordinate System6,Axis_joint06,joint06,fixed,0,0.01,0,0,0,0,sec05,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec07,-1.84314369322536E-18,0.0025,-1.73472347597681E-18,0,0,0,0.0139800873084746,3.7862736460452E-07,-1.67610990985475E-38,2.09237994446367E-37,6.99004365423729E-07,1.68127027333928E-38,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec07.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec07.STL,,soliddisk-7,Coordinate System7,Axis_joint07,joint07,fixed,0,0.01,0,0,0,0,sec06,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec08,-1.62630325872826E-18,0.0025,0,0,0,0,0.0139800873084746,3.7862736460452E-07,-2.45396915057397E-24,-8.82039613106784E-40,6.99004365423729E-07,1.46923067573066E-39,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec08.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec08.STL,,soliddisk-8,Coordinate System8,Axis_joint08,joint08,fixed,0,0.01,0,0,0,0,sec07,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec09,-1.68051336735253E-18,0.0025,0,0,0,0,0.0139800873084746,3.7862736460452E-07,5.11563180875594E-40,3.92635064091837E-23,6.9900436542373E-07,-2.95351140186029E-40,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec09.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec09.STL,,soliddisk-9,Coordinate System9,Axis_joint09,joint09,fixed,0,0.01,0,0,0,0,sec08,0,0,0,100,0,-1.571,1.571,,,,,,,,
