Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.2663E-17,0.0206,0.10996,0,0,0,3.6235,0.15623,1.4868E-18,-4.0692E-17,0.15007,-0.016753,0.046849,0,0,0,0,0,0,package://softActuator/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://softActuator/meshes/base_link.STL,,Stand-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sec01,9.10729824887824E-18,-3.46944695195361E-17,0.00475000000000003,0,0,0,0.0151090971683583,2.02587811199071E-06,5.29395592033938E-23,3.34400831663348E-23,2.02587811199071E-06,-2.43179067269129E-24,3.8244902207407E-06,0,0,0,0,0,0,package://softActuator/meshes/sec01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec01.STL,,limbComplete-1/section-11,Origin_joint01,Axis_joint01,joint01,revolute,0,-0.5825,-0.049051,1.5708,-0.072593,0,base_link,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec02,9.10729824887824E-18,-3.46944695195361E-17,-0.00475000000000003,0,0,0,0.0151090971683583,2.02587811199071E-06,5.29395592033938E-23,3.34400831663348E-23,2.02587811199071E-06,-2.43179067269129E-24,3.8244902207407E-06,0,0,0,0,0,0,package://softActuator/meshes/sec02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec02.STL,,limbComplete-1/section-10,Origin_joint02,Axis_joint02,joint02,revolute,0,0,-0.0205,0,0,0,sec01,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec03,9.10729824887824E-18,-3.46944695195361E-17,-0.00524999999999998,0,0,0,0.0151090971683583,2.02587811199071E-06,5.29395592033938E-23,3.34400831663348E-23,2.02587811199071E-06,-2.43179067269129E-24,3.8244902207407E-06,0,0,0,0,0,0,package://softActuator/meshes/sec03.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec03.STL,,limbComplete-1/section-9,Origin_joint03,Axis_joint03,joint03,revolute,0,0,-0.0295,0,0,0,sec02,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec04,9.10729824887824E-18,-3.46944695195361E-17,-0.00474999999999998,0,0,0,0.0151090971683583,2.02587811199071E-06,5.29395592033938E-23,-9.0526433996975E-39,2.02587811199071E-06,-2.17386507914307E-39,3.8244902207407E-06,0,0,0,0,0,0,package://softActuator/meshes/sec04.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec04.STL,,limbComplete-1/section-8,Origin_joint04,Axis_joint04,joint04,revolute,0,0,-0.0305,0,0,0,sec03,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec05,9.10729824887824E-18,-3.46944695195361E-17,-0.00475000000000003,0,0,0,0.0151090971683584,2.02587811199073E-06,5.29395592033938E-23,1.80482279854177E-37,2.02587811199073E-06,-1.87114583269484E-38,3.82449022074073E-06,0,0,0,0,0,0,package://softActuator/meshes/sec05.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec05.STL,,limbComplete-1/section-7,Origin_joint05,Axis_joint05,joint05,revolute,0,0,-0.03,0,0,0,sec04,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec06,9.10729824887824E-18,-3.46944695195361E-17,-0.00474999999999992,0,0,0,0.0151090971683584,2.02587811199073E-06,5.29395592033938E-23,-1.89755064553703E-37,2.02587811199073E-06,1.35103822887091E-38,3.82449022074073E-06,0,0,0,0,0,0,package://softActuator/meshes/sec06.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec06.STL,,limbComplete-1/section-6,Origin_joint06,Axis_joint06,joint06,revolute,0,0,-0.03,0,0,0,sec05,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec07,9.10729824887824E-18,-3.46944695195361E-17,-0.00474999999999992,0,0,0,0.0151090971683584,2.02587811199073E-06,5.29395592033938E-23,-1.89755064553703E-37,2.02587811199073E-06,1.35103822887091E-38,3.82449022074073E-06,0,0,0,0,0,0,package://softActuator/meshes/sec07.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec07.STL,,limbComplete-1/section-5,Origin_joint07,Axis_joint07,joint07,revolute,0,0,-0.03,0,0,0,sec06,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec08,9.10729824887824E-18,-3.46944695195361E-17,-0.00474999999999992,0,0,0,0.0151090971683584,2.02587811199073E-06,5.29395592033938E-23,-1.89755064553703E-37,2.02587811199073E-06,1.35103822887091E-38,3.82449022074073E-06,0,0,0,0,0,0,package://softActuator/meshes/sec08.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec08.STL,,limbComplete-1/section-4,Origin_joint08,Axis_joint08,joint08,revolute,0,0,-0.03,0,0,0,sec07,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
sec09,9.10729824887824E-18,-3.46944695195361E-17,-0.00474999999999998,0,0,0,0.0151090971683584,2.02587811199073E-06,5.29395592033938E-23,1.80482279854177E-37,2.02587811199073E-06,-1.87114583269484E-38,3.82449022074073E-06,0,0,0,0,0,0,package://softActuator/meshes/sec09.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://softActuator/meshes/sec09.STL,,limbComplete-1/section-3,Origin_joint09,Axis_joint09,joint09,revolute,0,0,-0.03,0,0,0,sec08,0,0,1,0.002,0,-1.57,1.57,,,,,,,,
